batch,heads,seq_len,head_dim,dtype,causal,variant,ms,tflops,speedup_vs_sdpa,status
1,4,256,64,fp16,no,sdpa,0.1369,0.49,1.0,ok
1,4,256,64,fp16,no,naive,0.4637,0.14,0.3,ok
1,4,256,64,fp16,no,flash,0.2753,0.24,0.5,ok
2,8,512,64,fp16,no,sdpa,0.1382,7.77,1.0,ok
2,8,512,64,fp16,no,naive,0.474,2.27,0.29,ok
2,8,512,64,fp16,no,flash,0.277,3.88,0.5,ok
2,8,1024,64,fp16,no,sdpa,0.1588,27.04,1.0,ok
2,8,1024,64,fp16,no,naive,0.4849,8.86,0.33,ok
2,8,1024,64,fp16,no,flash,0.3079,13.95,0.52,ok
2,8,2048,64,fp16,no,sdpa,0.3389,50.69,1.0,ok
2,8,2048,64,fp16,no,naive,2.221,7.74,0.15,ok
2,8,2048,64,fp16,no,flash,0.5306,32.38,0.64,ok
1,8,4096,64,fp16,no,sdpa,0.6022,57.06,1.0,ok
1,8,4096,64,fp16,no,naive,4.2256,8.13,0.14,ok
1,8,4096,64,fp16,no,flash,0.8684,39.57,0.69,ok
1,4,256,64,fp16,yes,sdpa,0.1423,0.24,1.0,ok
1,4,256,64,fp16,yes,naive,0.6994,0.05,0.2,ok
1,4,256,64,fp16,yes,flash,0.272,0.12,0.52,ok
2,8,512,64,fp16,yes,sdpa,0.1378,3.9,1.0,ok
2,8,512,64,fp16,yes,naive,0.7024,0.76,0.2,ok
2,8,512,64,fp16,yes,flash,0.2754,1.95,0.5,ok
2,8,1024,64,fp16,yes,sdpa,0.1408,15.26,1.0,ok
2,8,1024,64,fp16,yes,naive,0.7425,2.89,0.19,ok
2,8,1024,64,fp16,yes,flash,0.2729,7.87,0.52,ok
2,8,2048,64,fp16,yes,sdpa,0.2422,35.47,1.0,ok
2,8,2048,64,fp16,yes,naive,3.5666,2.41,0.07,ok
2,8,2048,64,fp16,yes,flash,0.4043,21.25,0.6,ok
1,8,4096,64,fp16,yes,sdpa,0.4076,42.15,1.0,ok
1,8,4096,64,fp16,yes,naive,7.0415,2.44,0.06,ok
1,8,4096,64,fp16,yes,flash,0.5897,29.13,0.69,ok
1,4,256,64,bf16,no,sdpa,0.1425,0.47,1.0,ok
1,4,256,64,bf16,no,naive,0.4628,0.14,0.31,ok
1,4,256,64,bf16,no,flash,0.2791,0.24,0.51,ok
2,8,512,64,bf16,no,sdpa,0.1372,7.82,1.0,ok
2,8,512,64,bf16,no,naive,0.4669,2.3,0.29,ok
2,8,512,64,bf16,no,flash,0.2755,3.9,0.5,ok
2,8,1024,64,bf16,no,sdpa,0.1551,27.69,1.0,ok
2,8,1024,64,bf16,no,naive,0.4857,8.84,0.32,ok
