M,K,N,variant,ms,gflops,pct_peak,speedup_vs_cublas
512,512,512,cublas,0.1292,2077.9,5.2,1.0
512,512,512,tiled,0.127,2114.1,5.3,1.017
1024,1024,1024,cublas,0.1628,13189.6,32.9,1.0
1024,1024,1024,tiled,0.7016,3060.9,7.6,0.232
2048,2048,2048,cublas,0.7001,24538.2,61.2,1.0
2048,2048,2048,tiled,5.2008,3303.3,8.2,0.135
4096,4096,4096,cublas,5.0678,27120.2,67.6,1.0
4096,4096,4096,tiled,41.8615,3283.2,8.2,0.121
1024,768,512,cublas,0.1208,6664.7,16.6,1.0
1024,768,512,tiled,0.2899,2778.0,6.9,0.417
