N,H,dtype,variant,ms,gbps,pct_peak,footprint_mb,l2_resident,speedup_vs_unfused
4096,2048,fp32,fused,0.2605,515.2,76.7,134.2,no,0.98
4096,2048,fp32,unfused,0.2563,654.6,97.4,167.8,no,1.0
4096,2048,fp32,norm,0.14734,455.5,67.8,67.1,no,1.74
4096,3072,fp32,fused,0.39635,507.9,75.6,201.3,no,1.15
4096,3072,fp32,unfused,0.45694,550.7,82.0,251.7,no,1.0
4096,3072,fp32,norm,0.23266,432.7,64.4,100.7,no,1.96
4096,4096,fp32,fused,0.49202,545.6,81.2,268.4,no,1.21
4096,4096,fp32,unfused,0.59603,563.0,83.8,335.5,no,1.0
4096,4096,fp32,norm,0.26654,503.5,74.9,134.2,no,2.24
8192,2048,fp32,fused,0.49366,543.8,80.9,268.4,no,1.21
8192,2048,fp32,unfused,0.59882,560.3,83.4,335.5,no,1.0
8192,2048,fp32,norm,0.26773,501.3,74.6,134.2,no,2.24
8192,3072,fp32,fused,0.7335,548.9,81.7,402.7,no,1.21
8192,3072,fp32,unfused,0.89104,564.9,84.1,503.3,no,1.0
8192,3072,fp32,norm,0.37968,530.3,78.9,201.3,no,2.35
8192,4096,fp32,fused,0.95795,560.4,83.4,536.9,no,1.22
8192,4096,fp32,unfused,1.17027,573.4,85.3,671.1,no,1.0
8192,4096,fp32,norm,0.50259,534.1,79.5,268.4,no,2.33
16384,2048,fp32,fused,0.95941,559.6,83.3,536.9,no,1.22
16384,2048,fp32,unfused,1.1739,571.7,85.1,671.1,no,1.0
16384,2048,fp32,norm,0.50534,531.2,79.0,268.4,no,2.32
16384,3072,fp32,fused,1.41533,569.0,84.7,805.3,no,1.23
16384,3072,fp32,unfused,1.74307,577.5,85.9,1006.6,no,1.0
16384,3072,fp32,norm,0.73288,549.4,81.8,402.7,no,2.38
16384,4096,fp32,fused,1.89482,566.7,84.3,1073.7,no,1.22
16384,4096,fp32,unfused,2.31226,580.5,86.4,1342.2,no,1.0
16384,4096,fp32,norm,0.96955,553.7,82.4,536.9,no,2.38
32768,2048,fp32,fused,1.88826,568.6,84.6,1073.7,no,1.22
32768,2048,fp32,unfused,2.31104,580.8,86.4,1342.2,no,1.0
32768,2048,fp32,norm,0.9649,556.4,82.8,536.9,no,2.4
32768,3072,fp32,fused,2.79667,575.9,85.7,1610.6,no,1.24
32768,3072,fp32,unfused,3.47168,579.9,86.3,2013.3,no,1.0
32768,3072,fp32,norm,1.43582,560.9,83.5,805.3,no,2.42
32768,4096,fp32,fused,3.7427,573.8,85.4,2147.5,no,1.23
32768,4096,fp32,unfused,4.608,582.5,86.7,2684.4,no,1.0
32768,4096,fp32,norm,1.91517,560.7,83.4,1073.7,no,2.41
4096,2048,bf16,fused,0.15747,426.2,63.4,67.1,no,0.77
4096,2048,bf16,unfused,0.12176,688.9,102.5,83.9,no,1.0
4096,2048,bf16,norm,0.07045,476.3,70.9,33.6,yes,1.73
4096,3072,bf16,fused,0.21198,474.9,70.7,100.7,no,0.96
4096,3072,bf16,unfused,0.20406,616.6,91.8,125.8,no,1.0
4096,3072,bf16,norm,0.08952,562.2,83.7,50.3,no,2.28
4096,4096,bf16,fused,0.28504,470.9,70.1,134.2,no,0.92
4096,4096,bf16,unfused,0.26202,640.3,95.3,167.8,no,1.0
4096,4096,bf16,norm,0.15181,442.1,65.8,67.1,no,1.73
8192,2048,bf16,fused,0.29074,461.6,68.7,134.2,no,0.94
8192,2048,bf16,unfused,0.27235,616.0,91.7,167.8,no,1.0
8192,2048,bf16,norm,0.14406,465.8,69.3,67.1,no,1.89
8192,3072,bf16,fused,0.3795,530.5,78.9,201.3,no,1.19
8192,3072,bf16,unfused,0.45314,555.4,82.6,251.7,no,1.0
8192,3072,bf16,norm,0.20851,482.8,71.8,100.7,no,2.17
8192,4096,bf16,fused,0.49482,542.5,80.7,268.4,no,1.21
8192,4096,bf16,unfused,0.59664,562.4,83.7,335.5,no,1.0
8192,4096,bf16,norm,0.27186,493.7,73.5,134.2,no,2.19
16384,2048,bf16,fused,0.49461,542.7,80.8,268.4,no,1.2
16384,2048,bf16,unfused,0.59597,563.0,83.8,335.5,no,1.0
16384,2048,bf16,norm,0.28915,464.2,69.1,134.2,no,2.06
16384,3072,bf16,fused,0.7285,552.7,82.2,402.7,no,1.21
16384,3072,bf16,unfused,0.88389,569.4,84.7,503.3,no,1.0
16384,3072,bf16,norm,0.38419,524.0,78.0,201.3,no,2.3
16384,4096,bf16,fused,0.96829,554.5,82.5,536.9,no,1.21
16384,4096,bf16,unfused,1.17037,573.4,85.3,671.1,no,1.0
16384,4096,bf16,norm,0.49995,536.9,79.9,268.4,no,2.34
32768,2048,bf16,fused,0.97446,550.9,82.0,536.9,no,1.2
32768,2048,bf16,unfused,1.1684,574.4,85.5,671.1,no,1.0
32768,2048,bf16,norm,0.49835,538.6,80.2,268.4,no,2.34
32768,3072,bf16,fused,1.42843,563.8,83.9,805.3,no,1.24
32768,3072,bf16,unfused,1.77138,568.3,84.6,1006.6,no,1.0
32768,3072,bf16,norm,0.74019,544.0,81.0,402.7,no,2.39
32768,4096,bf16,fused,1.89797,565.7,84.2,1073.7,no,1.22
32768,4096,bf16,unfused,2.31422,580.0,86.3,1342.2,no,1.0
32768,4096,bf16,norm,0.96846,554.4,82.5,536.9,no,2.39
